season,round,gp,session,circuit,driverCode,bestLapTime_sec,avgLapTime_sec,stdLapTime_sec,maxSpeed_kmh,gridPosition,finishPosition,qualyPosition,startPosition,qualyPosition_fromQ,raceGain
2021,6,Azerbaijan Grand Prix,R,Baku,GIO,105.575,107.704135,1.043459,331.0,20.0,11.0,,20.0,,9.0
2021,6,Azerbaijan Grand Prix,R,Baku,HAM,104.769,106.59465,1.557896,324.0,2.0,15.0,,2.0,2.0,-13.0
2021,6,Azerbaijan Grand Prix,R,Baku,LAT,106.608,108.259222,1.058462,325.0,16.0,16.0,,16.0,,0.0
2021,6,Azerbaijan Grand Prix,R,Baku,LEC,105.382,107.033184,1.072652,319.0,1.0,4.0,,1.0,1.0,-3.0
2021,6,Azerbaijan Grand Prix,R,Baku,MAZ,107.747,109.364454,1.104971,312.0,18.0,14.0,,18.0,18.0,4.0
2021,6,Azerbaijan Grand Prix,R,Baku,MSC,107.624,108.577117,0.797652,322.0,17.0,13.0,,17.0,17.0,4.0
2021,6,Azerbaijan Grand Prix,R,Baku,NOR,105.326,107.11221,1.189872,336.0,9.0,5.0,,9.0,6.0,4.0
2021,6,Azerbaijan Grand Prix,R,Baku,OCO,110.85,110.85,0.698696754716981,323.0,12.0,20.0,,12.0,12.0,-8.0
2021,6,Azerbaijan Grand Prix,R,Baku,PER,104.687,106.359175,1.303824,317.0,6.0,1.0,,6.0,7.0,5.0
2021,6,Azerbaijan Grand Prix,R,Baku,RAI,105.601,107.761361,1.331029,342.32499946666667,14.0,10.0,,14.0,14.0,4.0
2021,6,Azerbaijan Grand Prix,R,Baku,RIC,105.713,107.353894,1.204731,323.0,13.0,9.0,,13.0,13.0,4.0
2021,6,Azerbaijan Grand Prix,R,Baku,RUS,105.959,108.092783,1.216346,326.0,15.0,17.0,,15.0,15.0,-2.0
2021,6,Azerbaijan Grand Prix,R,Baku,SAI,105.7,107.318131,1.228053,325.0,5.0,8.0,,5.0,5.0,-3.0
2021,6,Azerbaijan Grand Prix,R,Baku,STR,106.207,107.536035,1.2193,318.0,19.0,19.0,,19.0,,0.0
2021,6,Azerbaijan Grand Prix,R,Baku,TSU,104.939,107.093948,1.304996,323.0,7.0,7.0,,7.0,8.0,0.0
2021,6,Azerbaijan Grand Prix,R,Baku,VER,104.481,106.231736,1.31674,316.0,3.0,18.0,,3.0,3.0,-15.0
2021,6,Azerbaijan Grand Prix,R,Baku,VET,104.89,107.017625,1.544134,323.0,11.0,2.0,,11.0,11.0,9.0
2021,7,French Grand Prix,R,Le Castellet,ALO,97.646,99.75864,1.273884,303.0,9.0,8.0,,9.0,9.0,1.0
2021,7,French Grand Prix,R,Le Castellet,BOT,96.96,98.714235,0.877117,307.0,3.0,4.0,,3.0,3.0,-1.0
2021,7,French Grand Prix,R,Le Castellet,GAS,98.103,99.821921,1.101186,307.0,6.0,7.0,,6.0,6.0,-1.0
2021,7,French Grand Prix,R,Le Castellet,GIO,98.702,100.514408,1.158465,315.0,13.0,15.0,,13.0,13.0,-2.0
2021,7,French Grand Prix,R,Le Castellet,HAM,97.41,98.53198,0.836993,312.0,2.0,2.0,,2.0,2.0,0.0
2021,7,French Grand Prix,R,Le Castellet,LAT,98.313,100.543812,1.184156,317.0,16.0,18.0,,16.0,16.0,-2.0
2021,7,French Grand Prix,R,Le Castellet,LEC,97.681,100.280061,1.233693,316.0,7.0,16.0,,7.0,7.0,-9.0
2021,7,French Grand Prix,R,Le Castellet,MAZ,99.317,101.184422,1.04193,312.0,18.0,20.0,,18.0,18.0,-2.0
2021,7,French Grand Prix,R,Le Castellet,MSC,98.847,100.719488,1.0152,309.0,15.0,19.0,,15.0,15.0,-4.0
2021,7,French Grand Prix,R,Le Castellet,NOR,97.425,99.410734,1.202482,299.0,8.0,5.0,,8.0,8.0,3.0
2021,7,French Grand Prix,R,Le Castellet,OCO,98.645,100.315297,1.109869,299.0,11.0,14.0,,11.0,11.0,-3.0
2021,7,French Grand Prix,R,Le Castellet,PER,96.693,98.586549,1.183515,310.0,4.0,3.0,,4.0,4.0,1.0
2021,7,French Grand Prix,R,Le Castellet,RAI,97.992,100.51202,1.26346,310.0,17.0,17.0,,17.0,17.0,0.0
2021,7,French Grand Prix,R,Le Castellet,RIC,98.324,99.808843,0.994723,306.0,10.0,6.0,,10.0,10.0,4.0
2021,7,French Grand Prix,R,Le Castellet,RUS,98.314,100.227437,0.972887,307.0,14.0,12.0,,14.0,14.0,2.0
2021,7,French Grand Prix,R,Le Castellet,SAI,98.931,100.302274,0.879962,327.61,5.0,11.0,,5.0,5.0,-6.0
2021,7,French Grand Prix,R,Le Castellet,STR,97.828,100.03896,1.279083,301.0,19.0,10.0,,19.0,19.0,9.0
2021,7,French Grand Prix,R,Le Castellet,TSU,98.98,100.275875,0.844406,301.0,,13.0,,,,
2021,7,French Grand Prix,R,Le Castellet,VER,96.404,98.16524316,1.122723,315.0,1.0,1.0,,1.0,1.0,0.0
2021,7,French Grand Prix,R,Le Castellet,VET,97.138,99.78358,1.357082,310.0,12.0,9.0,,12.0,12.0,3.0
2021,8,Styrian Grand Prix,R,Spielberg,ALO,69.749,70.644193,0.676542,299.0,8.0,9.0,,8.0,9.0,-1.0
2021,8,Styrian Grand Prix,R,Spielberg,BOT,68.619,69.856632,0.729067,293.0,5.0,3.0,,5.0,2.0,2.0
2021,8,Styrian Grand Prix,R,Spielberg,GIO,69.723,70.646236,0.650109,319.0,15.0,15.0,,15.0,15.0,0.0
2021,8,Styrian Grand Prix,R,Spielberg,HAM,67.058,69.407121,0.643521,302.0,2.0,2.0,,2.0,3.0,0.0
2021,8,Styrian Grand Prix,R,Spielberg,LAT,70.104,70.832152,0.526375,298.0,16.0,17.0,,16.0,16.0,-1.0
2021,8,Styrian Grand Prix,R,Spielberg,LEC,68.738,70.068453,0.876435,301.0,7.0,7.0,,7.0,7.0,0.0
2021,8,Styrian Grand Prix,R,Spielberg,MAZ,70.951,71.367625,0.222476,297.0,20.0,18.0,,20.0,20.0,2.0
2021,8,Styrian Grand Prix,R,Spielberg,MSC,70.005,70.6333,0.427825,304.0,19.0,16.0,,19.0,19.0,3.0
2021,8,Styrian Grand Prix,R,Spielberg,NOR,68.903,70.152415,0.789237,296.0,3.0,5.0,,3.0,4.0,-2.0
2021,8,Styrian Grand Prix,R,Spielberg,OCO,69.576,70.584454,0.750073,299.0,17.0,14.0,,17.0,17.0,3.0
2021,8,Styrian Grand Prix,R,Spielberg,PER,67.894,69.540954,0.882546,300.0,4.0,4.0,,4.0,5.0,0.0
2021,8,Styrian Grand Prix,R,Spielberg,RAI,69.128,70.488428,0.734754,324.86,18.0,11.0,,18.0,18.0,7.0
2021,8,Styrian Grand Prix,R,Spielberg,RIC,69.305,70.545545,0.749314,297.0,13.0,13.0,,13.0,13.0,0.0
2021,8,Styrian Grand Prix,R,Spielberg,RUS,70.499,71.280173,0.342563,301.0,10.0,19.0,,10.0,11.0,-9.0
2021,8,Styrian Grand Prix,R,Spielberg,SAI,68.609,70.030586,0.9287057000000001,316.0,12.0,6.0,,12.0,12.0,6.0
2021,8,Styrian Grand Prix,R,Spielberg,STR,69.787,70.6175,0.710508,298.0,9.0,8.0,,9.0,10.0,1.0
2021,8,Styrian Grand Prix,R,Spielberg,TSU,69.65,70.608196,0.702252,306.0,11.0,10.0,,11.0,8.0,1.0
2021,8,Styrian Grand Prix,R,Spielberg,VER,68.017,69.217985,0.580066,320.0,1.0,1.0,,1.0,1.0,0.0
2021,8,Styrian Grand Prix,R,Spielberg,VET,69.821,70.639172,0.645774,300.0,14.0,12.0,,14.0,14.0,2.0
2021,9,Austrian Grand Prix,R,Spielberg,ALO,68.405,69.61,0.598795,301.0,14.0,10.0,,14.0,14.0,4.0
2021,9,Austrian Grand Prix,R,Spielberg,BOT,68.374,69.274153,0.563677,319.0,5.0,2.0,,5.0,5.0,3.0
